proto,profile,loss,delay,sig,kem,full_n,full_min,full_mean,full_median,full_p95,full_p99,full_stdev,full_success_rate,resumed_n,resumed_min,resumed_mean,resumed_median,resumed_p95,resumed_p99,resumed_stdev,resumed_success_rate,speedup
quic,none,0,0,mldsa65,mlkem768,500,2.73,12.89,7.57,38.86,81.07,16.03,100.0,500,2.58,12.45,7.62,33.47,66.35,15.83,100.0,0.99
quic,none,0,0,mldsa87,hqc256,500,88.24,194.62,161.97,411.04,575.86,98.31,100.0,500,96.32,219.81,177.51,505.49,737.23,131.16,100.0,0.91
quic,simple,10,200,mldsa65,mlkem768,500,403.69,671.13,414.25,2427.19,3031.29,620.02,100.0,500,403.72,636.73,414.86,1812.62,2922.49,561.67,100.0,1.0
quic,simple,10,200,mldsa87,hqc256,500,557.55,1594.83,1379.15,3071.81,3703.38,643.41,100.0,500,570.81,1641.42,1376.8,3371.09,5026.05,849.17,100.0,1.0
quic,simple,2,35,mldsa65,mlkem768,500,73.36,121.59,81.36,201.42,2078.6,235.01,100.0,500,73.53,114.59,81.03,137.74,1370.63,214.55,100.0,1.0
quic,simple,2,35,mldsa87,hqc256,500,168.5,367.42,315.65,735.98,1019.9,182.63,100.0,500,172.37,365.76,291.32,752.24,1296.22,217.63,100.0,1.08
quic,stable,0,0,mldsa65,mlkem768,500,2.4,452.16,15.8,2064.57,4036.21,1054.91,100.0,500,2.76,482.37,14.03,2181.2,7010.57,1182.57,100.0,1.13
quic,stable,0,0,mldsa87,hqc256,500,91.62,427.54,232.05,1410.66,2438.18,567.0,100.0,499,94.23,405.76,213.72,1330.58,2192.75,572.42,100.0,1.09
tls,none,0,0,mldsa65,mlkem768,500,15.0,44.77,34.0,115.05,202.22,35.23,100.0,500,18.0,47.93,36.0,120.05,205.68,42.69,100.0,0.94
tls,none,0,0,mldsa87,hqc256,500,105.0,194.08,170.0,336.0,522.03,78.3,100.0,500,105.0,207.36,175.0,374.55,818.73,119.3,100.0,0.97
tls,simple,10,200,mldsa65,mlkem768,1000,623.0,1214.13,928.0,2700.7,3602.88,724.19,100.0,0,,,,,,,0,0
tls,simple,10,200,mldsa87,hqc256,1000,926.0,1617.66,1371.0,3348.35,4326.27,733.66,100.0,0,,,,,,,0,0
tls,simple,2,35,mldsa65,mlkem768,1000,123.0,220.78,170.0,450.05,1325.02,180.56,100.0,0,,,,,,,0,0
tls,simple,2,35,mldsa87,hqc256,1000,258.0,438.85,362.0,813.25,1509.03,235.82,100.0,0,,,,,,,0,0
tls,stable,0,0,mldsa65,mlkem768,500,17.0,458.77,121.0,1518.1,3758.86,828.77,100.0,500,18.0,436.29,128.5,1347.7,2152.05,1290.07,100.0,0.94
tls,stable,0,0,mldsa87,hqc256,500,117.0,1164.34,464.0,2625.3,7657.42,5437.54,100.0,500,115.0,671.12,394.0,1958.05,2828.9,651.54,100.0,1.18
