protocol,num_clients,profile,loss_percent,delay_ms,sig_alg,kem_alg,success_rate,median_ms,mean_ms,p95_ms,p99_ms,min_ms,max_ms,std_ms,total_handshakes,total_success
quic,10,none,0,0,mldsa65,mlkem768,100.0,5.33,8.51,24.14,58.48,1.73,211.90,11.30,5000,5000
quic,10,simple,10,200,mldsa65,mlkem768,100.0,418.63,710.85,2017.95,3508.91,402.92,9276.77,692.89,4893,4893
quic,10,simple,2,35,mldsa65,mlkem768,100.0,81.74,129.86,227.33,1182.24,72.77,3183.50,223.31,5000,5000
quic,50,none,0,0,mldsa65,mlkem768,100.0,30.63,56.94,197.55,322.71,2.11,824.89,69.28,22168,22168
quic,50,simple,10,200,mldsa65,mlkem768,100.0,420.42,721.23,1978.57,3466.29,402.50,10127.82,722.81,24283,24283
quic,50,simple,2,35,mldsa65,mlkem768,100.0,98.81,158.91,323.24,1245.43,72.42,3541.89,235.95,25000,25000
quic,50,simple,2,35,mldsa65,mlkem768,100.0,80.38,126.97,170.09,1196.60,72.84,7133.05,251.63,5000,5000
quic,100,none,0,0,mldsa65,mlkem768,100.0,41.12,73.20,243.29,406.25,1.56,1546.35,88.65,35045,35045
quic,100,simple,10,200,mldsa65,mlkem768,100.0,431.74,750.82,2079.90,3543.72,402.29,10259.99,738.76,46774,46774
quic,100,simple,2,35,mldsa65,mlkem768,100.0,123.00,193.75,462.04,1338.64,72.48,4687.16,249.66,38982,38982
tls,10,none,0,0,mldsa65,mlkem768,100.0,8.89,16.21,52.81,118.23,1.66,371.65,23.37,5000,5000
tls,10,none,0,0,mldsa65,mlkem768,100.0,8.01,12.83,38.32,88.67,1.89,172.92,15.51,5000,5000
tls,10,none,0,0,mldsa65,mlkem768,100.0,9.75,17.65,54.37,132.24,1.77,312.98,25.00,5000,5000
tls,10,simple,10,200,mldsa65,mlkem768,100.0,4775.98,4850.70,7598.30,9216.79,416.31,10781.03,1581.56,1412,1412
tls,10,simple,10,200,mldsa65,mlkem768,100.0,4730.75,4870.56,7597.67,9028.41,424.21,12335.06,1536.19,5000,5000
tls,10,simple,2,35,mldsa65,mlkem768,100.0,471.24,527.13,925.70,1610.70,72.95,2238.27,245.27,5000,5000
tls,10,simple,2,35,mldsa65,mlkem768,100.0,449.12,501.39,839.95,1566.50,73.48,2003.43,221.21,5000,5000
tls,50,none,0,0,mldsa65,mlkem768,100.0,158.08,166.31,310.52,535.09,1.74,995.64,99.78,25000,25000
tls,50,simple,10,200,mldsa65,mlkem768,100.0,23612.40,23795.32,30069.66,33534.59,414.98,40631.51,3654.24,24500,24500
tls,50,simple,2,35,mldsa65,mlkem768,100.0,2619.07,2656.76,3482.00,3995.30,72.78,5405.32,488.58,25000,25000
tls,100,none,0,0,mldsa65,mlkem768,100.0,515.84,521.11,962.67,1368.41,1.89,2600.66,269.78,50000,50000
tls,100,simple,10,200,mldsa65,mlkem768,100.0,47685.11,51581.49,89285.88,99612.90,409.36,126752.71,14270.38,50000,50000
tls,100,simple,2,35,mldsa65,mlkem768,100.0,5527.55,5328.59,6688.26,7137.70,74.58,8509.52,1271.79,17558,17558
